Time resolution is 1 ps
read out data:xx at 70000
read out data:ff at 110000
read out data:ff at 150000
read out data:ff at 190000
read out data:ff at 230000
read out data:ff at 270000
read out data:ff at 310000
read out data:ff at 350000
read out data:ff at 390000
read out data:ff at 430000
read out data:ff at 470000
read out data:ff at 510000
read out data:ff at 550000
read out data:ff at 590000
read out data:ff at 630000
read out data:ff at 670000
read out data:ff at 710000
read out data:ff at 750000
read out data:ff at 790000
read out data:ff at 830000
read out data:ff at 870000
read out data:ff at 910000
read out data:ff at 950000
read out data:ff at 990000
