Time resolution is 1 ps
Time = 0 | clk = 0 | rst = 1 | clk_out = x
Time = 10000 | clk = 1 | rst = 1 | clk_out = x
Time = 20000 | clk = 0 | rst = 0 | clk_out = 0
Time = 30000 | clk = 1 | rst = 0 | clk_out = 0
Time = 40000 | clk = 0 | rst = 0 | clk_out = 0
Time = 50000 | clk = 1 | rst = 0 | clk_out = 0
Time = 60000 | clk = 0 | rst = 0 | clk_out = 0
Time = 70000 | clk = 1 | rst = 1 | clk_out = 0
Time = 80000 | clk = 0 | rst = 1 | clk_out = 0
Time = 90000 | clk = 1 | rst = 1 | clk_out = 1
Time = 100000 | clk = 0 | rst = 1 | clk_out = 1
Time = 110000 | clk = 1 | rst = 1 | clk_out = 1
Time = 120000 | clk = 0 | rst = 1 | clk_out = 0
Time = 130000 | clk = 1 | rst = 1 | clk_out = 0
Time = 140000 | clk = 0 | rst = 1 | clk_out = 0
Time = 150000 | clk = 1 | rst = 1 | clk_out = 1
Time = 160000 | clk = 0 | rst = 1 | clk_out = 1
Time = 170000 | clk = 1 | rst = 1 | clk_out = 1
Time = 180000 | clk = 0 | rst = 1 | clk_out = 0
Time = 190000 | clk = 1 | rst = 1 | clk_out = 0
Time = 200000 | clk = 0 | rst = 1 | clk_out = 0
Time = 210000 | clk = 1 | rst = 1 | clk_out = 1
Time = 220000 | clk = 0 | rst = 1 | clk_out = 1
Time = 230000 | clk = 1 | rst = 1 | clk_out = 1
Time = 240000 | clk = 0 | rst = 1 | clk_out = 0
Time = 250000 | clk = 1 | rst = 1 | clk_out = 0
Time = 260000 | clk = 0 | rst = 1 | clk_out = 0
Time = 270000 | clk = 1 | rst = 1 | clk_out = 1
Time = 280000 | clk = 0 | rst = 1 | clk_out = 1
Time = 290000 | clk = 1 | rst = 1 | clk_out = 1
Time = 300000 | clk = 0 | rst = 1 | clk_out = 0
Time = 310000 | clk = 1 | rst = 1 | clk_out = 0
Time = 320000 | clk = 0 | rst = 1 | clk_out = 0
Time = 330000 | clk = 1 | rst = 1 | clk_out = 1
Time = 340000 | clk = 0 | rst = 1 | clk_out = 1
Time = 350000 | clk = 1 | rst = 1 | clk_out = 1
Time = 360000 | clk = 0 | rst = 1 | clk_out = 0
Time = 370000 | clk = 1 | rst = 1 | clk_out = 0
Time = 380000 | clk = 0 | rst = 1 | clk_out = 0
Time = 390000 | clk = 1 | rst = 1 | clk_out = 1
Time = 400000 | clk = 0 | rst = 1 | clk_out = 1
Time = 410000 | clk = 1 | rst = 1 | clk_out = 1
Time = 420000 | clk = 0 | rst = 1 | clk_out = 0
Time = 430000 | clk = 1 | rst = 1 | clk_out = 0
Time = 440000 | clk = 0 | rst = 1 | clk_out = 0
Time = 450000 | clk = 1 | rst = 1 | clk_out = 1
Time = 460000 | clk = 0 | rst = 1 | clk_out = 1
Time = 470000 | clk = 1 | rst = 1 | clk_out = 1
Time = 480000 | clk = 0 | rst = 1 | clk_out = 0
Time = 490000 | clk = 1 | rst = 1 | clk_out = 0
Time = 500000 | clk = 0 | rst = 1 | clk_out = 0
Time = 510000 | clk = 1 | rst = 1 | clk_out = 1
Time = 520000 | clk = 0 | rst = 1 | clk_out = 1
Time = 530000 | clk = 1 | rst = 1 | clk_out = 1
Time = 540000 | clk = 0 | rst = 1 | clk_out = 0
Time = 550000 | clk = 1 | rst = 1 | clk_out = 0
Time = 560000 | clk = 0 | rst = 1 | clk_out = 0
Time = 570000 | clk = 1 | rst = 1 | clk_out = 1
Time = 580000 | clk = 0 | rst = 1 | clk_out = 1
Time = 590000 | clk = 1 | rst = 1 | clk_out = 1
Time = 600000 | clk = 0 | rst = 1 | clk_out = 0
Time = 610000 | clk = 1 | rst = 1 | clk_out = 0
Time = 620000 | clk = 0 | rst = 1 | clk_out = 0
Time = 630000 | clk = 1 | rst = 1 | clk_out = 1
Time = 640000 | clk = 0 | rst = 1 | clk_out = 1
Time = 650000 | clk = 1 | rst = 1 | clk_out = 1
Time = 660000 | clk = 0 | rst = 1 | clk_out = 0
$finish called at time : 670 ns : File "/media/ryanfeng/HardDisk/Study/Git_Repos/UVM_knowledge/divide_f_by_3/divide_f_by_3.srcs/sim_1/new/TB.v" Line 43
